Job ID,Agency,Business Title,Job Category,Minimum Qual Requirements,Preferred Skills,Salary Range From,Salary Range To,Posting Date
349129,DEPT OF ENVIRONMENT PROTECTION,Emergency Manager,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement","1. A baccalaureate degree from an accredited college and two years of experience in community work or community centered activities in an area related to the duties described above; or  2. High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as described above; or  3. Education and/or experience which is equivalent to \"1\" or \"2\" above. However, all candidates must have at least one year of experience as described in \"1\" above.","â€¢	Degree in Public Administration, Public Health, Emergency Management or a related field â€¢	Excellent research and analytical skills â€¢	Experience working in an EOC â€¢	Completion of ICS or CIMS 100, 200 and 300 training â€¢	Completion of NYCEM Emergency Management Certificate Program  â€¢	Ability to prioritize, work effectively under pressure, meet competing deadlines â€¢	Excellent verbal and writing skills â€¢	Working cooperatively with other departments, government agencies, elected officials, and the general public â€¢	Maintaining confidential information â€¢	Respond to emergencies 24/7 as well as working non-typical shifts including weekends and holidays.",50362.0,78177.0,2018-06-25T00:00:00.000+05:30
397400,NYC HOUSING AUTHORITY,Architect L2,"Engineering, Architecture, & Planning","1.  A valid New York State Registration as an Architect. Current New York State Registration as an Architect must be maintained for the duration of your employment.  Special Note:  2.  In addition to above qualification requirements, to be eligible for placement in Assignment Levels II and III, individuals must have at least one year within the last three years of experience as a major contributor or a project leader on a complex project requiring additional and specific expertise in the disciplines needed to design or construct the project.","â€¢ Strong AutoCAD and 3-D software skills. â€¢ Knowledge of construction management and scheduling software. â€¢ Proven knowledge of Microsoft Access, Excel, PowerPoint, Word, and Visio. â€¢ Ability to work under stringent deadlines and handle simultaneous assignments. â€¢ Strong written and verbal communication skills. â€¢ Ability to work collaboratively with others.",78210.0,108657.0,2019-11-26T00:00:00.000+05:30
404471,DEPT OF DESIGN & CONSTRUCTION,Supervisor,"Finance, Accounting, & Procurement","1. A master's degree from an accredited college in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, urban studies or a closely related field, and two years of satisfactory full-time professional experience in one or a combination of the following: working with the budget of a large public or private concern in budget administration, accounting, economic or financial administration, or fiscal or economic research; in management or methods analysis, operations research, organizational research or program evaluation; in personnel or public administration, recruitment, position classification, personnel relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, social services program planning/evaluation, or fiscal management; or in a related area. 18 months of this experience must have been in an executive, managerial, administrative or supervisory capacity. Supervision must have included supervising staff performing professional work in the areas described above; or  2. A baccalaureate degree from an accredited college and four years of professional experience in the areas described in \"1\" above, including the 18 months of executive, managerial, administrative or supervisory experience, as described in \"1\" above.","Candidates must have experience with NYC procurement processes, excellent verbal and written skills, knowledge of Financial Management System (FMS) and APT. Proficiency is Excel, specifically in the following Excel functions: pivot tables, SUMIF's, V lookups, filters and advance formatting.",62862.0,97873.0,2019-08-16T00:00:00.000+05:30
408815,DEPARTMENT OF TRANSPORTATION,Safety Education Outreach Coordinator,"Constituent Services & Community Programs Public Safety, Inspections, & Enforcement","1. A baccalaureate degree from an accredited college and two years of experience in community work or community centered activities in an area related to the duties described above; or  2. High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as described above; or  3. Education and/or experience which is equivalent to \"1\" or \"2\" above. However, all candidates must have at least one year of experience as described in \"1\" above.",Teaching experience with Grades 4 â€“ 8 is strongly preferred. Bi-lingual a plus. A valid NYS driverâ€™s license is preferred.,52524.0,81535.0,2019-08-28T00:00:00.000+05:30
366229,DEPT OF ENVIRONMENT PROTECTION,"EXECUTIVE DIRECTOR, IN-HOUSE DESIGN","Engineering, Architecture, & Planning Policy, Research & Analysis","1. A baccalaureate degree from an accredited college in engineering, architecture, landscape architecture, business administration, or public administration, and five years of full-time satisfactory experience in the planning, administering or expediting of engineering design, and/or construction, or coordinating a very large engineering project, two years of which must have been in an administrative, managerial, executive or supervisory capacity; or  2. A four year high school diploma or its educational equivalent and nine years of experience as described in \"1\" above; two years of which must have been in an administrative, managerial, executive or supervisory capacity; or  3. Education and/or experience equivalent to \"1\" or \"2\" above. An accredited Master's degree in one of the disciplines described in \"1\" above, a law degree, or a valid New York State license as a Professional Engineer or Registered Architect or Landscape Architect may be substituted for one year of the required experience. However, all candidates must have the two years of the administrative, managerial, executive or supervisory experience as described in \"1\" above.","â€¢	Minimum 10 years of full time Civil, Mechanical or Electrical Engineering experience with emphasis on engineering design and project management  â€¢	Excellent oral and written communication skills towards a technical and non-technical audience as well as managerial training and/or extensive managerial experience with the ability to develop staff, and resolving conflicts  â€¢	Excellent analytical skills to evaluate workload and productivity  â€¢	Comfortable working directly with engineering design teams as well as Agency Senior Staff  â€¢	Knowledge of City, State and Federal environmental requirements for water, wastewater, Combined Sewer Overflow (CSO)  â€¢	Experience delivering large complex projects requiring expert engineering/construction background  â€¢	Experience leading staff to achieve objectives under difficult conditions  â€¢	Candidate must possess a valid NYS Driverâ€™s License",75338.0,194395.0,2018-10-01T00:00:00.000+05:30
393997,DEPT OF ENVIRONMENT PROTECTION,Engineering Technician I,"Public Safety, Inspections, & Enforcement","Qualification Requirements  For Assignment Levels I â€“ II  1. A four-year high school diploma or its educational equivalent approved by a stateâ€™s department of education or a recognized accrediting organization and two years of full-time satisfactory experience as an engineering technician; or     2. An Associate degree from an accredited college or technical institution with a specialization in engineering technology; or    3. A combination of education and experience which is equivalent to two years of satisfactory experience. To determine educational equivalency for experience, see â€œSpecial Noteâ€ below.    Special Note  One year of experience credit will be given for each 30 semester credits for college education leading to a degree from an accredited college in engineering technology. However, all candidates must have at least a high school diploma or its educational equivalent.    License Requirement For Certain Positions  For assignment to certain positions, the candidate must possess at the time of appointment or assignment a Motor Vehicle Driver License valid in the State of New York. This license must be maintained for the duration of employment.    Additional Qualification Requirements  For Assignment Levels III â€“ IV  To be eligible for placement in Assignment Levels III and IV, individuals must have, after meeting the requirements for Assignment Levels I and II, either  1. At least one year of satisfactory service as an Engineering Technician with the City of New York; or    2. A Baccalaureate degree in engineering technology from an accredited college; or    3. After meeting the minimum requirements described for Assignment Level I, at least two additional years of full-time satisfactory experience performing engineering technician work; or    4. A satisfactory combination of education and experience equivalent to  Additional Qualification Requirement â€œ3â€ above and in â€œSpecial Noteâ€ above.",Candidates must have a Motor Vehicle Driver License valid in the State of New York.,37796.0,43465.0,2019-05-08T00:00:00.000+05:30
398950,DEPT OF ENVIRONMENT PROTECTION,Industrial Hygienist 2,Health,"1. A baccalaureate degree from an accredited college or university including or supplemented by 28 semester credits in industrial hygiene, environmental health science, occupational health science and/or safety engineering; or    2. A baccalaureate degree from an accredited college or university  including or supplemented by 28 semester credits in the physical or natural sciences, civil engineering, mechanical engineering, environmental engineering, chemical engineering and/or toxicology and one year of satisfactory, full-time experience  in the identification, evaluation and control of health and safety hazards; or    3. A baccalaureate degree from an accredited college or university and two years of satisfactory full-time work experience as described in â€œ2â€ above; or    4. A combination of education and experience that is the equivalent of the course work and/or experience  described in â€œ1â€, â€œ2â€, and â€œ3â€ above. Semester credits from an accredited college or university in industrial hygiene, environmental health science, occupational health science and/or safety engineering may be substituted for experience on the basis of 7 semester credits equals 6 months of experience, up to a maximum of 28 semester credits. Semester credits from an accredited college or university  in the physical or natural sciences, civil engineering, mechanical engineering, environmental engineering, chemical engineering and/or toxicology may be substituted for experience on the basis of 7 semester credits equals 3 months of experience, up to a maximum of 28 semester credits. However, all candidates must have a baccalaureate degree from an accredited college or university.    License Requirements  A Motor Vehicle Driver License valid in the State of New York. This license must be maintained for the duration of employment.    Special Note:    To be eligible for placement in Assignment Level II individuals must have, in addition to meeting the minimum requirements, one year of satisfactory full-time work experience in the identification, evaluation and control of health and safety hazards.","Excellent communication and organizational skills and the ability to obtain 40-hour HAZWOPER certification are needed. The preferred candidate should be knowledgeable in one or more areas of environmental laws and regulations; Federal RCRA, CERCLA/SARA, TSCA, Clean Water Act and SPCC regulations; NYS SPDES, PBS and CBS regulations; and/or NYSDEC requirements for regulated waste management, environmental site investigations and remediation.",54409.0,73124.0,2019-07-02T00:00:00.000+05:30
404521,NYC HOUSING AUTHORITY,Deputy Director -Field Operations,"Engineering, Architecture, & Planning","1. Seven years of full-time, paid experience in the management of the maintenance and repairs of private or public residential, commercial or industrial real estate properties, building construction inspections or field inspections and investigations requiring the gathering and reporting of housing or building data or full journeyman-level experience in the building trades as a mason, carpenter, plasterer, iron worker, plumber, at least 18 months of which must have been in a managerial or administrative capacity; or  2. Five years of experience, as described in \"1\" above, at least 18 months of which must have been in a managerial or administrative capacity, plus two years of education in an accredited college or technical school in a construction program or education towards a baccalaureate degree in a related field of Engineering, Architecture or Engineering Technology; or   3. At least two years of experience, as described in \"1\" above, at least 18 months of which must have been in a managerial or administrative capacity, plus an approved five year apprenticeship in housing inspection; or  4.  Completion of three years of apprenticeship in housing inspection, plus either four years of experience as described in \"1\" above, at least 18  months of which must have been in a managerial or administrative capacity or two years of experience as described in \"1\"above, at least 18 months of which must have been in a managerial or administrative capacity and two years of education as described in \"2\" above; or  5. Education and/or experience which is equivalent to \"1\", \"2\", \"3\", or \"4\" above.  All candidates must have at least two years of experience as described in \"1\" above, at least 18 months of which must have been in a managerial or administrative capacity.  Six months of experience will be credited for each year of apprenticeship in the building trades up to a maximum of two years of the general experience.",1.	Eight (8) plus years of experience managing multiple construction projects simultaneously and/or requirement contracts with each project exceeding $10 million in value. 2.	Professional Engineer or Registered Architect. 3.	CCM or PMP certification. 4.	Exceptional leadership abilities. 5.	Excellent written and verbal communication skills.,69940.0,186555.0,2019-08-29T00:00:00.000+05:30
416514,DEPARTMENT OF TRANSPORTATION,Director of Facilities Maintenance,Building Operations & Maintenance,"1. Eight years of full-time experience in construction, repair, alteration and/or rehabilitation of multiple dwellings, commercial, industrial or public buildings in the capacity of general contractor, superintendent of construction, procurement specialist, evaluator responsible for cost estimation, or as a field supervisor or as an inspector, at least 18 months of which must have been in a supervisory or administrative capacity involving responsibility for a large number of buildings; or  2. Education and/or experience which is equivalent to \"1\" above. Education in an accredited college leading toward a baccalaureate degree in engineering, architecture, engineering technology or a closely related field will be accepted on a year-for-year basis up to a maximum of four years. However, all candidates must possess at least 18 months of the specialized supervisory or administrative experience described in \"1\" above.","â€¢	Understanding of the Cityâ€™s PPB rules. â€¢	Experience with the Cityâ€™s procurement process. â€¢	10 years building construction experience.   â€¢	Ability to exercise a high level of independent judgment. â€¢	Have excellent communication skills.  â€¢	Strong leadership qualities. â€¢	Good problem solver.  â€¢	Management experience of at least 30 or more people. â€¢	Proficient writing skills â€¢	Computer skills in electronic work ticket programs, MS Word, Excel â€¢	Understanding of energy efficiency and sustainability â€¢	Engineering or Architecture degree  â€¢	Experience supervising a diverse workforce",56990.0,156829.0,2019-10-31T00:00:00.000+05:30
425807,DEPT OF PARKS & RECREATION,City Park Worker,"Engineering, Architecture, & Planning Building Operations & Maintenance",Qualification Requirements  1. There are no formal education or experience requirements for this position.     2. A Motor Vehicle Driver's License valid in the State of New York is required.     3. Ability to read and to understand and obey orders is required.     4. There are certain medical and physical requirements.,"Preferred Skills/Qualifications 1. 	Ability to drive to locations in all five boroughs.  2. 	Ability to work flexible hours, nights and weekends as needed.  3. 	Commercial Driver License a plus.",34716.0,39923.0,2019-12-13T00:00:00.000+05:30
